name,year,artist
亲密的朋友,2004,盛晓玫
有一天,2006,盛晓玫
脚步,2007,盛晓玫
就在这里,2009,盛晓玫
信心,2010,盛晓玫
幸福,2012,盛晓玫
好心情,2015,盛晓玫
不变的爱,2018,盛晓玫
真实的敬拜者,2014,以斯拉
雅各的祝福,2009,以斯拉
呼召,2010,以斯拉
走向列邦呼喊,2013,以斯拉
复兴从我开始,2011,以斯拉
直到主耶稣再来时候,2007,以斯拉
我只愿一生,2018,以斯拉
盼望之路,2016,以斯拉
我们一起祷告吧,2006,以斯拉
你绝对,2012,以斯拉
鼓舞,1999,小羊诗歌
盟约,2001,小羊诗歌
愿你的国降临,2003,小羊诗歌
我愿意,2005,小羊诗歌
主，我相信,2007,小羊诗歌
再次将我更新,2009,小羊诗歌
永远,2009,小羊诗歌
活祭,2011,小羊诗歌
一粒麦子,2015,小羊诗歌
圣善夜,2016,小羊诗歌
看哪！田里庄稼成熟了,2017,小羊诗歌
声合为一,2020,小羊诗歌
施行拯救,2021,小羊诗歌
让赞美飞扬,1995,赞美之泉 Stream of Praise
耶和华祝福满满,1997,赞美之泉 Stream of Praise
苏醒,1998,赞美之泉 Stream of Praise
彩虹下的约定,1999,赞美之泉 Stream of Praise
全新的你,2000,赞美之泉 Stream of Praise
全能的创造主,2001,赞美之泉 Stream of Praise
你是信实的上帝,2001,赞美之泉 Stream of Praise
展开清晨的翅膀,2002,赞美之泉 Stream of Praise
差遣我,2002,赞美之泉 Stream of Praise
让爱走动,2003,赞美之泉 Stream of Praise
深触我心,2004,赞美之泉 Stream of Praise
单单只为你,2005,赞美之泉 Stream of Praise
似乎在天堂,2006,赞美之泉 Stream of Praise
宝贵十架,2006,赞美之泉 Stream of Praise
永远尊贵,2007,赞美之泉 Stream of Praise
最珍贵的角落,2007,赞美之泉 Stream of Praise
沙漠中的赞美,2008,赞美之泉 Stream of Praise
只愿见你,2008,赞美之泉 Stream of Praise
不要放弃，满有能力,2009,赞美之泉 Stream of Praise
爱可以再更多一点点,2010,赞美之泉 Stream of Praise
小小的梦想,2010,赞美之泉 Stream of Praise
相信有爱就有奇迹,2011,赞美之泉 Stream of Praise
有一位神,2012,赞美之泉 Stream of Praise
将天敞开,2012,赞美之泉 Stream of Praise
从心合一,2013,赞美之泉 Stream of Praise
把冷漠变成爱,2013,赞美之泉 Stream of Praise
这里有荣耀,2014,赞美之泉 Stream of Praise
新造的人,2014,赞美之泉 Stream of Praise
新的事将要成就,2015,赞美之泉 Stream of Praise
赞美的孩子最喜乐,2015,赞美之泉 Stream of Praise
我要看见,2016,赞美之泉 Stream of Praise
彩虹,2016,赞美之泉 Stream of Praise
2016年单曲,2016,赞美之泉 Stream of Praise
从早晨到夜晚,2017,赞美之泉 Stream of Praise
一闪一闪亮晶晶,2017,赞美之泉 Stream of Praise
High to the sky,2018,赞美之泉 Stream of Praise
平安,2019,赞美之泉 Stream of Praise
我相信,2019,赞美之泉 Stream of Praise
无止境,2019,赞美之泉 Stream of Praise
我在这里,2020,赞美之泉 Stream of Praise
2020年圣诞,2020,赞美之泉 Stream of Praise
放晴了,2021,赞美之泉 Stream of Praise
听见这世代的呼唤,2021,赞美之泉 Stream of Praise
他的国度，他的荣耀,2000,约书亚乐团
触摸到你,2001,约书亚乐团
抓住永恒,2003,约书亚乐团
荣美辉煌,2003,约书亚乐团
直到世界尽头,2004,约书亚乐团
听我的呼求,2005,约书亚乐团
打开众城门,2005,约书亚乐团
祷告的殿,2006,约书亚乐团
向列国宣告,2006,约书亚乐团
他使我满足,2007,约书亚乐团
荣美的救主,2007,约书亚乐团
我相信神迹,2008,约书亚乐团
超自然,2008,约书亚乐团
为挚爱的土地,2009,约书亚乐团
Happy Day,2009,约书亚乐团
上帝能够,2010,约书亚乐团
天国文化复兴,2010,约书亚乐团
约书亚其它,2010,约书亚乐团
恢复荣耀,2011,约书亚乐团
永远掌权,2011,约书亚乐团
圣灵请你来（我爱你）,,约书亚乐团
主掌权,2012,约书亚乐团
为着你的荣耀,2012,约书亚乐团
爱赢了,2012,约书亚乐团
为了这个世界,2013,约书亚乐团
颂赞归于你,2013,约书亚乐团
亚洲为耶稣,2013,约书亚乐团
潮汐,2014,约书亚乐团
永远属于你,2014,约书亚乐团
坚强的爱,2014,约书亚乐团
竭力追求,2015,约书亚乐团
点燃,2015,约书亚乐团
Bethel金选中文1,2016,约书亚乐团
城墙,2016,约书亚乐团
双膝跪下触摸天堂,2016,约书亚乐团
主你是我们的太阳,2017,约书亚乐团
这是真爱,2017,约书亚乐团
何等荣美的名,2018,约书亚乐团
父的筵席,2018,约书亚乐团
爱为我,2019,约书亚乐团
Bethel金选中文2,2019,约书亚乐团
我愿降服,2019,约书亚乐团
你的创造,2020,约书亚乐团
温柔圣灵,2020,约书亚乐团
都指向你,2020,约书亚乐团
胜过一切,2021,约书亚乐团
愿你裂天而降,2002,生命河灵粮堂
耶稣，万国的盼望,2004,生命河灵粮堂
释放属天的能力,2006,生命河灵粮堂
如鹰展翅上腾,2009,生命河灵粮堂
神机会的风,2011,生命河灵粮堂
天开了,2013,生命河灵粮堂
奔向爱我的神,2015,生命河灵粮堂
Shekinah 荣耀同在,2017,生命河灵粮堂
神已经成就了,2020,生命河灵粮堂
生命河灵粮堂2020年单曲,2020,生命河灵粮堂
大海中的道路,1997,我心旋律
天父,1998,我心旋律
生命的执着,1999,我心旋律
金色的耶路撒冷,2005,我心旋律
为荣耀君王预备道路,2009,我心旋律
我将你铭刻在掌上,2010,我心旋律
我为锡安心里极其火热,2011,我心旋律
旋转木马,2011,我心旋律
迈向锡安,2017,我心旋律
